Sağlık Tesisi Adı,Ana Kategori,Alt Kategori,İlçe Adı,Mahalle Adı,ADRES,Latitude,Longitude
Doğuş Sağlik,Sağlık,Sağlık Diğer,ESENYURT,ORHAN GAZİ,4.Yol Sk No:48 ORHAN GAZİ/ESENYURT,41.088222,28.644169
Acibadem Sağlik,Sağlık,Sağlık Diğer,KADIKÖY,19-May,Mercan Sk No:11 19 MAYIS/KADIKÖY,40.976838,29.094532
Vygon Medikal,Sağlık,Medikal,ÜSKÜDAR,CUMHURİYET,Karlıdere Cd CUMHURİYET/ÜSKÜDAR,41.011709,29.079429
Haseki Ecza,Sağlık,Ecza Deposu,BAYRAMPAŞA,KOCATEPE,Şemsi Paşa Cd No:15 KOCATEPE/BAYRAMPAŞA,41.058038,28.892805
Asr Sağlik,Sağlık,Sağlık Diğer,FATİH,ŞEHREMİNİ,Başvekil Cd No:7 ŞEHREMİNİ/FATİH,41.014541,28.933527
Pay Medikal,Sağlık,Medikal,KARTAL,SOĞANLIK YENİ,Ihlara Sk SOĞANLIK YENİ/KARTAL,40.915851,29.194346
Enhar Sağlik,Sağlık,Sağlık Diğer,SARIYER,CUMHURİYET,Sağlık Çıkmazı Sk No:6/A CUMHURİYET/SARIYER,41.145202,29.032237
Ab Medikal,Sağlık,Medikal,ŞİŞLİ,İZZET PAŞA,Yeniyol Cd No:1 İZZET PAŞA/ŞİŞLİ,41.067752,28.986807
Durak Sağlik,Sağlık,Sağlık Diğer,BEYKOZ,ORTAÇEŞME,Çayır Cd No:224 ORTAÇEŞME/BEYKOZ,41.146203,29.087419
Santamed Medikal,Sağlık,Medikal,KAĞITHANE,TALATPAŞA,Ersoy Sk No:4 TALATPAŞA/KAĞITHANE,41.057201,28.958592
Radyotom Sağlik,Sağlık,Sağlık Diğer,FATİH,ŞEHREMİNİ,Velet Çelebi Sk No:7 ŞEHREMİNİ/FATİH,41.011584,28.938074
Akua Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,SANCAKTEPE,MECLİS,Atatürk Cd No:109/D MECLİS/SANCAKTEPE,41.009966,29.209578
Metropolmed Sağlik,Sağlık,Sağlık Diğer,ÜMRANİYE,YAMANEVLER,Sanayi Cd No:4 YAMANEVLER/ÜMRANİYE,41.022006,29.119387
Innomed Laboratuvar,Sağlık,Laboratuvar Özel,ÜMRANİYE,AŞAĞI DUDULLU,Alemdağ Cd No:513 AŞAĞI DUDULLU/ÜMRANİYE,41.017521,29.166505
Deneysel Medikal,Sağlık,Medikal,KADIKÖY,19-May,Esin Sk No:11 19 MAYIS/KADIKÖY,40.980521,29.09162
Sayore Sağlik,Sağlık,Sağlık Diğer,KADIKÖY,FENERBAHÇE,Lalezar Sk No:9 FENERBAHÇE/KADIKÖY,40.974363,29.047128
Isem Ortak,Sağlık,Sağlık Diğer,ESENYURT,İNÖNÜ,359.Sk No:1 İNÖNÜ/ESENYURT,41.025376,28.68533
Megapol Sağlik,Sağlık,Sağlık Diğer,KARTAL,ORTA,Atatürk Cd No:88 ORTA/KARTAL,40.915985,29.200102
Ren-Med Sağlik,Sağlık,Sağlık Diğer,BEŞİKTAŞ,LEVENT,Begonya Sk No:9 LEVENT/BEŞİKTAŞ,41.082283,29.01746
Gökoğlu Sağlik,Sağlık,Sağlık Diğer,KÜÇÜKÇEKMECE,GÜLTEPE,1.Sevim Sk No:4 GÜLTEPE/KÜÇÜKÇEKMECE,40.993368,28.791524
Udento Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,KADIKÖY,ACIBADEM,Ömer Celalbey Sk No:10 ACIBADEM/KADIKÖY,40.996755,29.033677
Vizyon Medikal,Sağlık,Medikal,FATİH,MOLLA GÜRANİ,Karakoyunlu Sk No:14 MOLLA GÜRANİ/FATİH,41.013922,28.938996
Zalix Ilaç,Sağlık,Medikal,ATAŞEHİR,FERHATPAŞA,17.Sk No:129 FERHATPAŞA/ATAŞEHİR,40.980072,29.164795
Hayat Sağlik,Sağlık,Sağlık Diğer,FATİH,HASEKİ SULTAN,Küpeşteciler Sk No:7 HASEKİ SULTAN/FATİH,41.009785,28.945401
Fabel Sağlik,Sağlık,Sağlık Diğer,KÜÇÜKÇEKMECE,YARIMBURGAZ,5.Fatih Cd No:- YARIMBURGAZ/KÜÇÜKÇEKMECE,41.043394,28.758827
Mavi Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,Gebzeli Cd No:4/1b FEVZİ ÇAKMAK/GAZİOSMANPAŞA,41.071338,28.902494
Ümran Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ÜMRANİYE,AŞAĞI DUDULLU,Semavi Sk No:2 AŞAĞI DUDULLU/ÜMRANİYE,41.016793,29.164635
Inbody Medikal,Sağlık,Medikal,BEŞİKTAŞ,GAYRETTEPE,Pazar Sk No:18 GAYRETTEPE/BEŞİKTAŞ,41.061162,29.008736
Ortavet Sağlik,Sağlık,Sağlık Diğer,BEŞİKTAŞ,MECİDİYE,Hülya Sk No:10 MECİDİYE/BEŞİKTAŞ,41.052418,29.022747
3E Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,TUZLA,İSTASYON,İstasyon Cd No:99 İSTASYON/TUZLA,40.822507,29.312993
Kale Ortak,Sağlık,Sağlık Diğer,BAŞAKŞEHİR,İKİTELLİ OSB,İsdök Sosyal Tesis Sk No:1 İKİTELLİ OSB/BAŞAKŞEHİR,41.092628,28.793677
Bilday Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BEYLİKDÜZÜ,ADNAN KAHVECİ,Beray Sk No:5 ADNAN KAHVECİ/BEYLİKDÜZÜ,40.991018,28.614902
Patilihane Veterinerlik,Sağlık,Veteriner,MALTEPE,CEVİZLİ,Ayten Sk No:26 CEVİZLİ/MALTEPE,40.915859,29.15259
Baykara Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ÜMRANİYE,NAMIK KEMAL,Şekermaslak Sk No:0/Park NAMIK KEMAL/ÜMRANİYE,41.022267,29.083945
Selam Medikal,Sağlık,Medikal,ÜSKÜDAR,BARBAROS,Çiçekçi Bostan Sk No:23 BARBAROS/ÜSKÜDAR,41.016694,29.033158
Varan Medikal,Sağlık,Medikal,KADIKÖY,KOŞUYOLU,Koşuyolu Cd No:85 KOŞUYOLU/KADIKÖY,41.00569,29.03367
Oftalmik Sağlik,Sağlık,Sağlık Diğer,ŞİŞLİ,MEŞRUTİYET,Halaskargazi Cd No:102 MEŞRUTİYET/ŞİŞLİ,41.054597,28.987436
Dinçer Sağlik,Sağlık,Sağlık Diğer,ŞİŞLİ,MERKEZ,İskenderoğlu Sk No:17 MERKEZ/ŞİŞLİ,41.062188,28.984756
Ariklar Sağlik,Sağlık,Sağlık Diğer,KÜÇÜKÇEKMECE,YEŞİLOVA,Gazi Osmanpaşa Cd No:1 YEŞİLOVA/KÜÇÜKÇEKMECE,40.987659,28.789551
Uygar Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ÜSKÜDAR,İCADİYE,Çifteçınar Sk No:49 İCADİYE/ÜSKÜDAR,41.028007,29.030688
Atilim Ortak,Sağlık,Sağlık Diğer,PENDİK,ŞEYHLİ,Seyit Ali Sk No:8 ŞEYHLİ/PENDİK,40.905753,29.284297
Ahospital Sağlik,Sağlık,Sağlık Diğer,BAHÇELİEVLER,KOCASİNAN MERKEZ,Begonya 1 Sk No:8 KOCASİNAN MERKEZ/BAHÇELİEVLER,41.02188,28.83867
Hoşkal Ortak,Sağlık,Sağlık Diğer,MALTEPE,FINDIKLI,Hancıoğlu Cd No:105 FINDIKLI/MALTEPE,40.969748,29.137498
Sena Sağlik,Sağlık,Sağlık Diğer,KAĞITHANE,SULTAN SELİM,Sakarya Sk No:3 SULTAN SELİM/KAĞITHANE,41.091011,29.000506
Nhl Sağlik,Sağlık,Sağlık Diğer,KAĞITHANE,SEYRANTEPE,Çelikay Cd No:36 SEYRANTEPE/KAĞITHANE,41.09783,28.995563
Soft Ilaç,Sağlık,Medikal,KAĞITHANE,SEYRANTEPE,Altınay Cd No:34 SEYRANTEPE/KAĞITHANE,41.094123,28.987904
Oscas Medikal,Sağlık,Medikal,KADIKÖY,MERDİVENKÖY,Şair Arşi Cd No:27 MERDİVENKÖY/KADIKÖY,40.98483,29.072598
Mavi Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,GAZİOSMANPAŞA,FEVZİ ÇAKMAK,Efe Mehmet Sk No:32 FEVZİ ÇAKMAK/GAZİOSMANPAŞA,41.071754,28.902498
Estebel Sağlik,Sağlık,Sağlık Diğer,BEŞİKTAŞ,LEVENT,Karanfil Sk No:10 LEVENT/BEŞİKTAŞ,41.077423,29.016334
Metcer Sağlik,Sağlık,Sağlık Diğer,BEYOĞLU,KOCATEPE,Küçük Şişhane Sk No:2 KOCATEPE/BEYOĞLU,41.041282,28.981503
Artdent Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BEŞİKTAŞ,KONAKLAR,Akçam Cd No:24 KONAKLAR/BEŞİKTAŞ,41.08654,29.009651
Megapol Sağlik,Sağlık,Sağlık Diğer,KARTAL,ORTA,Atatürk Cd No:92 ORTA/KARTAL,40.915871,29.200287
Ayban Sağlik,Sağlık,Sağlık Diğer,ÇEKMEKÖY,MİMAR SİNAN,Mimar Sinan Cd No:4/Gb MİMAR SİNAN/ÇEKMEKÖY,41.032311,29.177416
Levent Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BEŞİKTAŞ,LEVENT,Levent Cd No:19 LEVENT/BEŞİKTAŞ,41.078515,29.015833
Aref Medikal,Sağlık,Medikal,ŞİŞLİ,TEŞVİKİYE,Ferah Sk No:25 TEŞVİKİYE/ŞİŞLİ,41.055082,28.99707
Demirkaya Optik,Sağlık,Gözlükçü/Optik,KAĞITHANE,YEŞİLCE,Değirmen Sk No:17 YEŞİLCE/KAĞITHANE,41.09451,29.001234
Sipkan Medikal,Sağlık,Medikal,KADIKÖY,OSMANAĞA,Söğütlüçeşme Cd No:41 OSMANAĞA/KADIKÖY,40.99092,29.027925
Costa Sağlik,Sağlık,Sağlık Diğer,SANCAKTEPE,VEYSEL KARANİ,Kanuni Cd No:3/1b VEYSEL KARANİ/SANCAKTEPE,40.968596,29.237969
Vetus Veterinerlik,Sağlık,Veteriner,KADIKÖY,GÖZTEPE,Günebakan Sk No:1/1 GÖZTEPE/KADIKÖY,40.979511,29.069405
Güden Sağlik,Sağlık,Sağlık Diğer,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,Gaziosmanpaşa Cd No:3 ARNAVUTKÖY MERKEZ/ARNAVUTKÖY,41.181794,28.74487
Medatech Sağlik,Sağlık,Sağlık Diğer,MALTEPE,ALTAYÇEŞME,Kiraz Sk No:1 ALTAYÇEŞME/MALTEPE,40.932034,29.131195
Akser Sağlik,Sağlık,Sağlık Diğer,AVCILAR,GÜMÜŞPALA,Manolya Sk No:2/1 GÜMÜŞPALA/AVCILAR,40.980695,28.731775
Atasun Optik,Sağlık,Gözlükçü/Optik,ŞİŞLİ,FULYA,Büyükdere Cd No:0/Metro FULYA/ŞİŞLİ,41.065087,28.993854
Ademur Optik,Sağlık,Gözlükçü/Optik,BEŞİKTAŞ,LEVENT,Beyazkaranfil Sk No:22/1 LEVENT/BEŞİKTAŞ,41.084399,29.013353
Süreyyapaşa Sağlik,Sağlık,Sağlık Diğer,MALTEPE,ZÜMRÜTEVLER,Gürcüdağ Sk No:23 ZÜMRÜTEVLER/MALTEPE,40.939834,29.146232
Santamed Medikal,Sağlık,Medikal,KAĞITHANE,TALATPAŞA,Ersoy Sk No:3 TALATPAŞA/KAĞITHANE,41.057226,28.958348
Era-Med Medikal,Sağlık,Medikal,KARTAL,CEVİZLİ,Kutupyıldızı Sk No:1 CEVİZLİ/KARTAL,40.912063,29.172996
Mahir Veteriner,Sağlık,Veteriner,BEŞİKTAŞ,BALMUMCU,Barbaros Bulvarı Bulvar No:24 BALMUMCU/BEŞİKTAŞ,41.056795,29.010325
Mediko Medikal,Sağlık,Medikal,ÇEKMEKÖY,MEHMET AKİF,Köknar Cd No:57 MEHMET AKİF/ÇEKMEKÖY,41.015936,29.184777
Dentamarmara Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAKIRKÖY,CEVİZLİK,Ebuziya Cd No:67 CEVİZLİK/BAKIRKÖY,40.974688,28.875625
Yildiz Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,GAZİOSMANPAŞA,HÜRRİYET,500 Evler Cd No:85 HÜRRİYET/GAZİOSMANPAŞA,41.070931,28.89427
Ataman Sağlik,Sağlık,Sağlık Diğer,ŞİŞLİ,TEŞVİKİYE,Poyracık Sk No:51 TEŞVİKİYE/ŞİŞLİ,41.052828,28.994901
Istanbul Optik,Sağlık,Gözlükçü/Optik,BAHÇELİEVLER,ZAFER,Yüksel Sk No:13 ZAFER/BAHÇELİEVLER,40.994806,28.836424
Sadikoğlu Ecza,Sağlık,Ecza Deposu,ŞİŞLİ,BOZKURT,Baruthane Cd No:31 BOZKURT/ŞİŞLİ,41.050465,28.984369
Deniz Ortak,Sağlık,Sağlık Diğer,ATAŞEHİR,ÖRNEK,Sancaktar Sk No:13 ÖRNEK/ATAŞEHİR,40.995598,29.088051
Kardiyo Medikal,Sağlık,Medikal,ATAŞEHİR,ATATÜRK,Ekincioğlu Sk No:22 ATATÜRK/ATAŞEHİR,40.984979,29.134373
Şankul Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAHÇELİEVLER,SOĞANLI,Zafer 1 Sk No:2 SOĞANLI/BAHÇELİEVLER,41.010582,28.855092
Yesmed Medikal,Sağlık,Medikal,KADIKÖY,RASİMPAŞA,Beydağı Sk No:32 RASİMPAŞA/KADIKÖY,40.993711,29.02906
Liberty Sağlik,Sağlık,Sağlık Diğer,ATAŞEHİR,KÜÇÜKBAKKALKÖY,Beğendik Sk No:3 KÜÇÜKBAKKALKÖY/ATAŞEHİR,40.983153,29.106925
Atasun Optik,Sağlık,Gözlükçü/Optik,ŞİŞLİ,FULYA,Büyükdere Cd No:36 FULYA/ŞİŞLİ,41.065115,28.994278
Sevilay Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,PENDİK,KURTKÖY,Dr. Gürol Başaran Sk No:1/2 KURTKÖY/PENDİK,40.913622,29.297793
Durak Sağlik,Sağlık,Sağlık Diğer,BEYKOZ,ORTAÇEŞME,Dalkılıç Sk No:2 ORTAÇEŞME/BEYKOZ,41.145867,29.087453
Ala Sağlik,Sağlık,Sağlık Diğer,EYÜPSULTAN,GÖKTÜRK MERKEZ,Çeşmebaşı Cd No:17 GÖKTÜRK MERKEZ/EYÜPSULTAN,41.183633,28.886646
Fon Sağlik,Sağlık,Sağlık Diğer,ŞİŞLİ,TEŞVİKİYE,Güzelbahçe Sk No:14 TEŞVİKİYE/ŞİŞLİ,41.052896,28.994254
Beydent Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,AVCILAR,ÜNİVERSİTE,Hilal Sk No:27 ÜNİVERSİTE/AVCILAR,40.995512,28.706693
Dentrom Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ATAŞEHİR,İÇERENKÖY,Prof. Dr. Necmettin Erbakan Cd No:55 İÇERENKÖY/ATAŞEHİR,40.974536,29.120652
Akabe Sağlik,Sağlık,Sağlık Diğer,AVCILAR,ÜNİVERSİTE,E-5 Yanyol (Londra Asfaltı) Cd No:86/A ÜNİVERSİTE/AVCILAR,40.994049,28.708659
Pendik Şehir,Sağlık,Şehir Hastanesi,PENDİK,BATI,23 Nisan Cd No:5 BATI/PENDİK,40.876202,29.231569
Buer Medikal,Sağlık,Medikal,ÜMRANİYE,ŞERİFALİ,Şehit Sk No:13 ŞERİFALİ/ÜMRANİYE,41.001427,29.150118
Fidan Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ESENLER,ORUÇREİS,Şehit Ali Karahan Cd No:147 ORUÇREİS/ESENLER,41.062537,28.86016
Oksijen Ecza,Sağlık,Ecza Deposu,ESENLER,ORUÇREİS,Giyimkent 20. Sk No:9/A ORUÇREİS/ESENLER,41.071896,28.873853
Esse Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,FATİH,SEYYİD ÖMER,Türkçü Sk No:3 SEYYİD ÖMER/FATİH,41.010381,28.937594
Yusufpaşa Ecza,Sağlık,Ecza Deposu,FATİH,HASEKİ SULTAN,Turgut Özal Millet Cd No:15 HASEKİ SULTAN/FATİH,41.009732,28.946445
Mhd Medikal,Sağlık,Medikal,FATİH,MOLLA GÜRANİ,Turgut Özal Millet Cd No:12 MOLLA GÜRANİ/FATİH,41.010241,28.947201
Toprak Ecza,Sağlık,Ecza Deposu,PENDİK,VELİBABA,Narin Sk No:18 VELİBABA/PENDİK,40.896802,29.264617
Ark Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,GAZİOSMANPAŞA,BARBAROS HAYRETTİN PAŞA,1095.Sk No:1 BARBAROS HAYRETTİN PAŞA/GAZİOSMANPAŞA,41.074637,28.884481
Toprak Ecza,Sağlık,Ecza Deposu,PENDİK,VELİBABA,Akıncılar Sk No:15 VELİBABA/PENDİK,40.896968,29.264527
Norm Medikal,Sağlık,Medikal,FATİH,MOLLA GÜRANİ,Lütufpaşa Sk No:42 MOLLA GÜRANİ/FATİH,41.013744,28.938444
Keskingöz Optik,Sağlık,Gözlükçü/Optik,KADIKÖY,CAFERAĞA,Muvakkıthane Cd. No:16 CAFERAĞA/KADIKÖY,40.990061,29.024154
Zeynes Sağlik,Sağlık,Sağlık Diğer,KÜÇÜKÇEKMECE,KANARYA,Dr.Sadık Ahmet Cd KANARYA/KÜÇÜKÇEKMECE,41.009206,28.779177
Hilal Ecza,Sağlık,Ecza Deposu,ESENLER,ORUÇREİS,Giyimkent 10. Sk No:33/A ORUÇREİS/ESENLER,41.070206,28.872344
Minerva Ecza,Sağlık,Ecza Deposu,ESENLER,ORUÇREİS,Giyimkent 18. Sk No:73/A ORUÇREİS/ESENLER,41.073474,28.873123
Reamedix Medikal,Sağlık,Medikal,ÜSKÜDAR,SELİMİYE,Selimiye İskele Cd No:17 SELİMİYE/ÜSKÜDAR,41.009463,29.013445
Pay Medikal,Sağlık,Medikal,KARTAL,SOĞANLIK YENİ,Ihlara Sk SOĞANLIK YENİ/KARTAL,40.916126,29.194001
Sant Sağlik,Sağlık,Sağlık Diğer,ATAŞEHİR,BARBAROS,Mimar Sinan Cd No:150 BARBAROS/ATAŞEHİR,40.991631,29.100888
Çalişan Sağlik,Sağlık,Sağlık Diğer,SULTANGAZİ,50. YIL,Eski Edirne Asfaltı Cd No:502 50. YIL/SULTANGAZİ,41.089516,28.865268
Prizmanet Medikal,Sağlık,Medikal,KAĞITHANE,YAHYA KEMAL,Kıvrım Sk No:16/-18 YAHYA KEMAL/KAĞITHANE,41.083516,28.986578
Ranamed Medikal,Sağlık,Medikal,ÜMRANİYE,KAZIM KARABEKİR,Adem Yavuz Cd No:28 KAZIM KARABEKİR/ÜMRANİYE,41.033275,29.103238
Avşar Sağlik,Sağlık,Sağlık Diğer,BEŞİKTAŞ,AKAT,Menekşe Sk No:11 AKAT/BEŞİKTAŞ,41.088512,29.020332
Barbers Medikal,Sağlık,Medikal,ESENYURT,İNCİRTEPE,Kemal Paşa Cd No:24 İNCİRTEPE/ESENYURT,41.022841,28.689515
Dicle Ortak,Sağlık,Sağlık Diğer,ESENYURT,NECİP FAZIL KISAKÜREK,Karakol Sk No:2 NECİP FAZIL KISAKÜREK/ESENYURT,41.031719,28.658002
Imece Sağlik,Sağlık,Sağlık Diğer,KAĞITHANE,ORTABAYIR,Bacadibi Sk No:8 ORTABAYIR/KAĞITHANE,41.080191,29.006645
Baysam Sağlik,Sağlık,Sağlık Diğer,KADIKÖY,19-May,Sümer Sk No:3/Dm 19 MAYIS/KADIKÖY,40.979437,29.093935
Adeka Ilaç,Sağlık,Medikal,SARIYER,MASLAK,Maslak Meydan Sk No:2 MASLAK/SARIYER,41.109458,29.020675
Dentopedia Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAHÇELİEVLER,HÜRRİYET,Güngören Sk No:17 HÜRRİYET/BAHÇELİEVLER,40.993529,28.840505
Santral Sağlik,Sağlık,Sağlık Diğer,BAKIRKÖY,ZUHURATBABA,İncirli Cd No:69 ZUHURATBABA/BAKIRKÖY,40.990458,28.870406
Stt Sağlik,Sağlık,Sağlık Diğer,SULTANBEYLİ,TURGUT REİS,Demokrasi Cad. No:219 TURGUT REİS/SULTANBEYLİ,40.961371,29.282961
Okutan Sağlik,Sağlık,Sağlık Diğer,EYÜPSULTAN,İSLAMBEY,Tahta Minare Cd No:0/Park İSLAMBEY/EYÜPSULTAN,41.049418,28.929215
Dentlab Laboratuvar,Sağlık,Laboratuvar Özel,ATAŞEHİR,BARBAROS,Zafer Sk No:19 BARBAROS/ATAŞEHİR,40.983919,29.095955
Goncagül Sağlik,Sağlık,Sağlık Diğer,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,Eski Edirne Asfaltı Cd No:1185 ARNAVUTKÖY MERKEZ/ARNAVUTKÖY,41.179266,28.746021
Evrensel Veteriner,Sağlık,Veteriner,BEŞİKTAŞ,KONAKLAR,Akasyalı Sk No:7 KONAKLAR/BEŞİKTAŞ,41.086576,29.01218
Şehir Veterinerlik,Sağlık,Veteriner,MALTEPE,FEYZULLAH,Krizantem Sk No:21 FEYZULLAH/MALTEPE,40.924931,29.128818
Livadi Medikal,Sağlık,Medikal,ATAŞEHİR,KÜÇÜKBAKKALKÖY,Merdivenköy Yolu Cd No:12 KÜÇÜKBAKKALKÖY/ATAŞEHİR,40.981851,29.107508
Vivamed Medikal,Sağlık,Medikal,GAZİOSMANPAŞA,YENİ MAHALLE,Cebeci Cd No:- YENİ MAHALLE/GAZİOSMANPAŞA,41.079302,28.896099
Özel Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ÜSKÜDAR,BULGURLU,Alemdağ Cd No:110 BULGURLU/ÜSKÜDAR,41.023847,29.083135
Dema Medikal,Sağlık,Medikal,KÜÇÜKÇEKMECE,ATATÜRK,2.Hürriyet Cd No:5 ATATÜRK/KÜÇÜKÇEKMECE,41.055484,28.792835
Tetra Sağlik,Sağlık,Sağlık Diğer,ATAŞEHİR,KÜÇÜKBAKKALKÖY,Önder Sk No:9/-11 KÜÇÜKBAKKALKÖY/ATAŞEHİR,40.98368,29.109641
Dgns Ecza,Sağlık,Ecza Deposu,BAĞCILAR,15-Jul,Gülbahar Cd No:3 15 TEMMUZ/BAĞCILAR,41.030933,28.814399
Yeşiltepe Medikal,Sağlık,Medikal,ZEYTİNBURNU,YEŞİLTEPE,53. Sk No:43 YEŞİLTEPE/ZEYTİNBURNU,40.99441,28.902797
Ccm Sağlik,Sağlık,Sağlık Diğer,ÜMRANİYE,ŞERİFALİ,Kale Sk No:12/A ŞERİFALİ/ÜMRANİYE,40.999463,29.141584
Globbella Sağlik,Sağlık,Sağlık Diğer,ÜMRANİYE,IHLAMURKUYU,Taşkent Sk No:8/A IHLAMURKUYU/ÜMRANİYE,41.018686,29.134157
Alra Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BEYLİKDÜZÜ,YAKUPLU,63.Sk No:10 YAKUPLU/BEYLİKDÜZÜ,41.005119,28.66487
Medosel Medikal,Sağlık,Medikal,ATAŞEHİR,İÇERENKÖY,Cihan Sk No:33 İÇERENKÖY/ATAŞEHİR,40.970554,29.120271
Erne Medikal,Sağlık,Medikal,ŞİŞLİ,FERİKÖY,Seymen Sk No:58 FERİKÖY/ŞİŞLİ,41.049995,28.981527
Hbm Sağlik,Sağlık,Sağlık Diğer,BEŞİKTAŞ,ETİLER,Nisbetiye Cd No:88 ETİLER/BEŞİKTAŞ,41.079501,29.032525
Isem Ortak,Sağlık,Sağlık Diğer,ESENYURT,İNÖNÜ,804.Sk No:3 İNÖNÜ/ESENYURT,41.025707,28.685147
Lavida Veteriner,Sağlık,Veteriner,KADIKÖY,ACIBADEM,Sarayardı Cd No:84 ACIBADEM/KADIKÖY,40.995656,29.037252
Microson Medikal,Sağlık,Medikal,KADIKÖY,OSMANAĞA,Ali Suavi Sk No:8 OSMANAĞA/KADIKÖY,40.98944,29.029337
Mebas Medikal,Sağlık,Medikal,ŞİŞLİ,MECİDİYEKÖY,Başaran Sk No:3 MECİDİYEKÖY/ŞİŞLİ,41.069411,28.994004
Ersev Ortak,Sağlık,Sağlık Diğer,ESENYURT,ÜÇEVLER,909. Sk No:6/-8 ÜÇEVLER/ESENYURT,41.022468,28.679219
Europa Ecza,Sağlık,Ecza Deposu,ÜMRANİYE,TEPEÜSTÜ,Yenilik Sk No:30/A TEPEÜSTÜ/ÜMRANİYE,41.015338,29.134851
Levent Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BEŞİKTAŞ,LEVENT,Levent Cd No:21/1 LEVENT/BEŞİKTAŞ,41.078566,29.015938
Bo-Ga Medikal,Sağlık,Medikal,KADIKÖY,KOZYATAĞI,Kozyatağı Sk No:29/2 KOZYATAĞI/KADIKÖY,40.967432,29.101469
Prime Sağlik,Sağlık,Sağlık Diğer,ŞİŞLİ,GÜLBAHAR,Salih Tozan Sk No:7 GÜLBAHAR/ŞİŞLİ,41.068368,29.003686
Hgo Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,EYÜPSULTAN,KARADOLAP,Neşeli Sk No:20 KARADOLAP/EYÜPSULTAN,41.079082,28.927399
Yesmed Medikal,Sağlık,Medikal,KADIKÖY,RASİMPAŞA,Misak-I Milli Sk No:83 RASİMPAŞA/KADIKÖY,40.993377,29.029075
Surgero Sağlik,Sağlık,Sağlık Diğer,KADIKÖY,FENERBAHÇE,Dr. Faruk Ayanoğlu Cd No:6 FENERBAHÇE/KADIKÖY,40.976679,29.047335
Safir Veterinerlik,Sağlık,Veteriner,KAĞITHANE,EMNİYET EVLERİ,Seyir Cd No:14 EMNİYET EVLERİ/KAĞITHANE,41.084815,29.004807
Sağlam Medikal,Sağlık,Medikal,FATİH,MOLLA GÜRANİ,Fındıkzade Sk No:13 MOLLA GÜRANİ/FATİH,41.013,28.940415
Dentrom Ağiz,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ATAŞEHİR,İÇERENKÖY,Prof. Dr. Necmettin Erbakan Cd No:49 İÇERENKÖY/ATAŞEHİR,40.974171,29.120227
Arilar Sağlik,Sağlık,Sağlık Diğer,ÜMRANİYE,ŞERİFALİ,Miras Sk No:51 ŞERİFALİ/ÜMRANİYE,40.995566,29.151329
Istanbul Sağlik,Sağlık,Sağlık Diğer,ŞİŞLİ,MERKEZ,Kocamansur Sk No:44 MERKEZ/ŞİŞLİ,41.061295,28.986841
Beykoz Sağlik,Sağlık,Sağlık Diğer,EYÜPSULTAN,MERKEZ,Sultan Reşat Cd No:10 MERKEZ/EYÜPSULTAN,41.048214,28.935381
Mimgrup Medikal,Sağlık,Medikal,ŞİŞLİ,FULYA,Şenol Sk No:4 FULYA/ŞİŞLİ,41.062934,29.000937
Gündem Sağlik,Sağlık,Sağlık Diğer,ŞİŞLİ,MECİDİYEKÖY,Ağa Sk No:2 MECİDİYEKÖY/ŞİŞLİ,41.072401,28.994821
Avrasya Rehabilitasyon,Sağlık,Rehabilitasyon ve Aile Danışma Merkezi,GAZİOSMANPAŞA,SARIGÖL,Yakamoz Sk No:2 SARIGÖL/GAZİOSMANPAŞA,41.057834,28.918557
