Sağlık Tesisi Adı,Ana Kategori,Alt Kategori,İlçe Adı,Mahalle Adı,ADRES,Latitude,Longitude
İpek Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:85 A İSMET PAŞA/BAYRAMPAŞA,41.041757,28.903573
Mavi Göz Optik,Sağlık,Gözlükçü/Optik,GAZİOSMANPAŞA,BAĞLARBAŞI,Bağlarbaşı Cad. No:3 BAĞLARBAŞI/GAZİOSMANPAŞA,41.05906,28.913511
Diş Hekimi E. Safa Koçak,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Yahya Kemal Cad. No:8 A YENİDOĞAN/BAYRAMPAŞA,41.039243,28.907312
Fark Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Atışalanı Cad. No:3 B YENİDOĞAN/BAYRAMPAŞA,41.038533,28.912001
Dentamir Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:128 A MURATPAŞA/BAYRAMPAŞA,41.051598,28.905703
Ferhat Medikal Ortopedi,Sağlık,Medikal,BAYRAMPAŞA,İSMET PAŞA,İsmet Paşa Cad. No:77 B İSMET PAŞA/BAYRAMPAŞA,41.042263,28.904022
Gündem Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:3 B YENİDOĞAN/BAYRAMPAŞA,41.035613,28.913549
Çınar Terkuran,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Uygur Cad. No:29 A ORTA/BAYRAMPAŞA,41.037273,28.905687
Diş Hekimi Sevgi Güneş,Sağlık,Diş Hekimi,BAYRAMPAŞA,TERAZİDERE,Esenler Cad. No:127 TERAZİDERE/BAYRAMPAŞA,41.03322,28.898078
Türk Kızılay Bayrampaşa,Sağlık,Kızılay/Kan Merkezi,BAYRAMPAŞA,YENİDOĞAN,Kiraz Sk. No:14 A YENİDOĞAN/BAYRAMPAŞA,41.036273,28.911028
Belkıs Şahin,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,BAĞLARBAŞI,Bağlarbaşı Cad. No:41 BAĞLARBAŞI/GAZİOSMANPAŞA,41.060606,28.913661
Ecza Deposu,Sağlık,Ecza Deposu,BAYRAMPAŞA,YENİDOĞAN,Ahmet Yesevi Sk. No:8 -10A YENİDOĞAN/BAYRAMPAŞA,41.037845,28.913516
Soy - Vet,Sağlık,Veteriner,EYÜPSULTAN,İSLAMBEY,Balcı Yokuşu No:4 /1 İSLAMBEY/EYÜPSULTAN,41.045826,28.934343
Özel Bayrampaşa Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:55 A YENİDOĞAN/BAYRAMPAŞA,41.037345,28.912117
Diş Hekimi Mehmet Onbaşıoglu,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,BAĞLARBAŞI,Bağlarbaşı Cad. No:41 BAĞLARBAŞI/GAZİOSMANPAŞA,41.060616,28.913663
Pet Adrass Veteriner Kliniği,Sağlık,Veteriner,BAYRAMPAŞA,YENİDOĞAN,Atışalanı Cad. No:3 A YENİDOĞAN/BAYRAMPAŞA,41.038532,28.912095
Helix İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:75 -77A İSMET PAŞA/BAYRAMPAŞA,41.042246,28.903797
Zeytinburnu Yenidoğan Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ZEYTİNBURNU,YENİDOĞAN,46. Sk. No:77 -79 YENİDOĞAN/ZEYTİNBURNU,40.990378,28.90629
Esenler Menderes Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ESENLER,MENDERES,353. Sk. No:10 /1 MENDERES/ESENLER,41.042024,28.87746
Zeytinburnu Gökalp Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ZEYTİNBURNU,GÖKALP,35. Sk. No:14 A GÖKALP/ZEYTİNBURNU,40.993679,28.909336
Zeytinburnu Telsiz Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ZEYTİNBURNU,TELSİZ,80. Camii Sk. No:11 A TELSİZ/ZEYTİNBURNU,40.997431,28.912897
Esenler 9 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ESENLER,MENDERES,Piri Reis Cad. No:47 A MENDERES/ESENLER,41.042062,28.872612
Bakırköy Özel 360 Ağız ve Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAKIRKÖY,CEVİZLİK,Fahri Korutürk Cad. No:2 CEVİZLİK/BAKIRKÖY,40.978694,28.874485
Özel Bayrampaşa Psikoteknik Değerlendirme Merkezi,Sağlık,Psikoteknik Değerlendirme Merkezi,BAYRAMPAŞA,ALTINTEPSİ,Kazım Karabekir Cad. No:105 A ALTINTEPSİ/BAYRAMPAŞA,41.038388,28.895877
Meyra Medikal,Sağlık,Medikal,BAKIRKÖY,ZEYTİNLİK,Fişekhane Cad. No:10 ZEYTİNLİK/BAKIRKÖY,40.978557,28.873762
Diş Hekimi Ali Toncer,Sağlık,Diş Hekimi,EYÜPSULTAN,İSLAMBEY,Balcı Yokuşu No:4 İSLAMBEY/EYÜPSULTAN,41.045866,28.934404
Odyovest İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,ESENLER,MİMAR SİNAN,77. Sk. No:1 A MİMAR SİNAN/ESENLER,41.036861,28.884047
Diş Hekimi Halil Dokuyucu,Sağlık,Diş Hekimi,BAKIRKÖY,CEVİZLİK,Fahri Korutürk Cad. No:26 CEVİZLİK/BAKIRKÖY,40.979729,28.874365
Gözüm Optik,Sağlık,Gözlükçü/Optik,BAKIRKÖY,ZEYTİNLİK,Fişekhane Cad. No:8 A ZEYTİNLİK/BAKIRKÖY,40.978442,28.873844
Evren Profesyonel Gözlük Tamircisi,Sağlık,Gözlükçü/Optik,BAKIRKÖY,ZEYTİNLİK,Fişekhane Cad. No:10 ZEYTİNLİK/BAKIRKÖY,40.978498,28.873786
Öztürk Medikal Ortopedi,Sağlık,Medikal,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:27 A İSMET PAŞA/BAYRAMPAŞA,41.044167,28.904653
Dinç Optik 2,Sağlık,Gözlükçü/Optik,ZEYTİNBURNU,BEŞTELSİZ,Semiha Şakir Cad. No:79 C BEŞTELSİZ/ZEYTİNBURNU,40.997914,28.904334
İBB Psikolojik Danışmanlık Merkezi,Sağlık,Belediye Sağlık Merkezi,BAYRAMPAŞA,YENİDOĞAN,Şar Sk. No:68 A YENİDOĞAN/BAYRAMPAŞA,41.040045,28.909692
Kent Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:79 C İSMET PAŞA/BAYRAMPAŞA,41.041982,28.903676
3 A Dental Klinik,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,BAĞLARBAŞI,Bağlarbaşı Cad. No:2 BAĞLARBAŞI/GAZİOSMANPAŞA,41.059022,28.913762
Bayrampaşa Devlet Hastanesi,Sağlık,Devlet Hastanesi,BAYRAMPAŞA,İSMET PAŞA,Kenar Cad. No:6 İSMET PAŞA/BAYRAMPAŞA,41.041463,28.903141
Özel Fizyodem Tıp Merkezi,Sağlık,Tıp Merkezi Özel,BAYRAMPAŞA,ORTA,Demirkapı Cad. No:47 -49 ORTA/BAYRAMPAŞA,41.037068,28.90922
Göznur Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:4 D YENİDOĞAN/BAYRAMPAŞA,41.035454,28.913375
